BehaviorSpace results (NetLogo 6.4.0),Table version 2.0,,,,,,,,
红绿__Traffic 2 Lanes.nlogo,,,,,,,,,
experiment21,,,,,,,,,
01/25/2024 04:46:40:149 +0800,,,,,,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,,,,0.035224419,23.76629099,560.458621
-20,20,-8,8,,,,,,
[run number],acceleration,max-patience,number-of-cars,deceleration,[step],count turtles,mean [speed] of turtles,mean [patience] of turtles,average-wait-time
2,0.005,50,60,0.02,0,61,0.491803279,25.21311475,0
3,0.005,50,60,0.02,0,61,0.491803279,24.32786885,0
3,0.005,50,60,0.02,1,60,0.455666667,25.71666667,0.05
2,0.005,50,60,0.02,1,60,0.452333333,26.15,0.05
2,0.005,50,60,0.02,2,60,0.437666667,25.58333333,0.1
3,0.005,50,60,0.02,2,60,0.41625,25.13333333,0.133333333
3,0.005,50,60,0.02,3,60,0.385166667,25.48333333,0.216666667
2,0.005,50,60,0.02,3,60,0.414416667,25.16666667,0.183333333
3,0.005,50,60,0.02,4,60,0.356416667,26.61666667,0.333333333
2,0.005,50,60,0.02,4,60,0.408833333,24.8,0.25
3,0.005,50,60,0.02,5,60,0.334833333,26.96666667,0.466666667
2,0.005,50,60,0.02,5,60,0.402083333,24.4,0.35
3,0.005,50,60,0.02,6,60,0.321,26.43333333,0.6
2,0.005,50,60,0.02,6,60,0.407583333,24.05,0.433333333
3,0.005,50,60,0.02,7,60,0.29825,25.85,0.716666667
2,0.005,50,60,0.02,7,60,0.409066638,24.46666667,0.516666667
2,0.005,50,60,0.02,8,60,0.383899971,24.05,0.6
3,0.005,50,60,0.02,8,60,0.286583333,25.28333333,0.866666667
3,0.005,50,60,0.02,9,60,0.283166667,24.75,1
2,0.005,50,60,0.02,9,60,0.365416667,24.38333333,0.7
2,0.005,50,60,0.02,10,60,0.34725,23.9,0.8
3,0.005,50,60,0.02,10,60,0.277666667,24.23333333,1.183333333
3,0.005,50,60,0.02,11,60,0.266916667,24.56666667,1.316666667
2,0.005,50,60,0.02,11,60,0.326833333,24.18333333,0.9
2,0.005,50,60,0.02,12,60,0.296899971,23.65,1.016666667
3,0.005,50,60,0.02,12,60,0.248333333,24.85,1.45
3,0.005,50,60,0.02,13,60,0.220083333,24.26666667,1.633333333
2,0.005,50,60,0.02,13,60,0.278333333,25.55,1.166666667
1,0.005,50,60,0.02,0,61,0.491803279,22.73770492,0
3,0.005,50,60,0.02,14,60,0.21,23.7,1.75
2,0.005,50,60,0.02,14,60,0.264483305,25.03333333,1.333333333
3,0.005,50,60,0.02,15,60,0.202083333,23.18333333,1.916666667
2,0.005,50,60,0.02,15,60,0.247399971,24.48333333,1.483333333
3,0.005,50,60,0.02,16,60,0.1815,23.46666667,2.1
2,0.005,50,60,0.02,16,60,0.222816638,24.71666667,1.666666667
3,0.005,50,60,0.02,17,60,0.161583333,22.85,2.25
2,0.005,50,60,0.02,17,60,0.196483305,24.91666667,1.85
3,0.005,50,60,0.02,18,60,0.121333333,22.16666667,2.45
2,0.005,50,60,0.02,18,60,0.178399971,24.3,2
3,0.005,50,60,0.02,19,60,0.106833333,22.46666667,2.633333333
2,0.005,50,60,0.02,19,60,0.155149971,24.51666667,2.2
3,0.005,50,60,0.02,20,60,0.10075,21.9,2.816666667
2,0.005,50,60,0.02,20,60,0.135399971,25.51666667,2.366666667
1,0.005,50,60,0.02,1,60,0.4375,24.18333333,0.066666667
3,0.005,50,60,0.02,21,60,0.096583333,23.01666667,3.016666667
2,0.005,50,60,0.02,21,60,0.105066638,24.8,2.616666667
3,0.005,50,60,0.02,22,60,0.096416667,22.41666667,3.216666667
2,0.005,50,60,0.02,22,60,0.087066638,24.15,2.833333333
3,0.005,50,60,0.02,23,60,0.084333333,22.56666667,3.483333333
2,0.005,50,60,0.02,23,60,0.070233305,23.55,3
2,0.005,50,60,0.02,24,60,0.055899971,22.93333333,3.25
3,0.005,50,60,0.02,24,60,0.064,21.93333333,3.65
2,0.005,50,60,0.02,25,60,0.046066638,22.28333333,3.45
3,0.005,50,60,0.02,25,60,0.04525,22.91666667,3.883333333
2,0.005,50,60,0.02,26,60,0.042066638,22.51666667,3.65
3,0.005,50,60,0.02,26,60,0.03725,23.93333333,4.1
